 initial_phi	Omega_de
   0.781000E-18   0.306910+120
   0.782000E-18   0.306910+120
   0.783000E-18   0.306910+120
   0.784000E-18   0.306910+120
   0.785000E-18   0.306910+120
   0.786000E-18   0.306910+120
   0.787000E-18   0.306910+120
   0.788000E-18   0.306910+120
   0.789000E-18   0.306910+120
   0.790000E-18   0.306910+120
   0.791000E-18   0.306910+120
   0.792000E-18   0.306910+120
   0.793000E-18   0.306910+120
   0.794000E-18   0.306910+120
   0.795000E-18   0.306910+120
   0.796000E-18   0.306910+120
   0.797000E-18   0.306910+120
   0.798000E-18   0.306910+120
   0.799000E-18   0.306910+120
   0.800000E-18   0.306910+120
   0.801000E-18   0.306910+120
   0.802000E-18   0.306910+120
   0.803000E-18   0.306910+120
   0.804000E-18   0.306910+120
   0.805000E-18   0.306910+120
   0.806000E-18   0.306910+120
   0.807000E-18   0.306910+120
   0.808000E-18   0.306910+120
   0.809000E-18   0.306910+120
   0.810000E-18   0.306910+120
   0.811000E-18   0.306910+120
   0.812000E-18   0.306910+120
   0.813000E-18   0.306910+120
   0.814000E-18   0.306910+120
   0.815000E-18   0.306910+120
   0.816000E-18   0.306910+120
   0.817000E-18   0.306910+120
   0.818000E-18   0.306910+120
   0.819000E-18   0.306910+120
   0.820000E-18   0.306910+120
   0.821000E-18   0.306910+120
   0.822000E-18   0.306910+120
   0.823000E-18   0.306910+120
   0.824000E-18   0.306910+120
   0.825000E-18   0.306910+120
   0.826000E-18   0.306910+120
   0.827000E-18   0.306910+120
   0.828000E-18   0.306910+120
   0.829000E-18   0.306910+120
   0.830000E-18   0.306910+120
   0.831000E-18   0.306910+120
   0.832000E-18   0.306910+120
   0.833000E-18   0.306910+120
   0.834000E-18   0.306910+120
   0.835000E-18   0.306910+120
   0.836000E-18   0.306910+120
   0.837000E-18   0.306910+120
   0.838000E-18   0.306910+120
   0.839000E-18   0.306910+120
   0.840000E-18   0.306910+120
   0.841000E-18   0.306910+120
   0.842000E-18   0.306910+120
   0.843000E-18   0.306910+120
   0.844000E-18   0.306910+120
   0.845000E-18   0.306910+120
   0.846000E-18   0.306910+120
