#    L    TT             EE             BB             TE             PP             TP             EP          
   184   0.534363E+04   0.765676E+00   0.000000E+00  -0.321660E+02   0.615280E-07   0.168980E-03  -0.606224E-06
   185   0.536441E+04   0.755902E+00   0.000000E+00  -0.312738E+02   0.612062E-07   0.167606E-03  -0.592088E-06
   186   0.538468E+04   0.746445E+00   0.000000E+00  -0.303551E+02   0.608871E-07   0.166246E-03  -0.578040E-06
   187   0.540445E+04   0.737339E+00   0.000000E+00  -0.294099E+02   0.605707E-07   0.164900E-03  -0.564071E-06
   188   0.542370E+04   0.728622E+00   0.000000E+00  -0.284385E+02   0.602568E-07   0.163567E-03  -0.550173E-06
   189   0.544243E+04   0.720327E+00   0.000000E+00  -0.274410E+02   0.599455E-07   0.162248E-03  -0.536335E-06
   190   0.546062E+04   0.712488E+00   0.000000E+00  -0.264179E+02   0.596367E-07   0.160941E-03  -0.522550E-06
   191   0.547828E+04   0.705139E+00   0.000000E+00  -0.253694E+02   0.593304E-07   0.159647E-03  -0.508808E-06
   192   0.549540E+04   0.698316E+00   0.000000E+00  -0.242955E+02   0.590266E-07   0.158364E-03  -0.495100E-06
   193   0.551195E+04   0.692051E+00   0.000000E+00  -0.231967E+02   0.587253E-07   0.157094E-03  -0.481415E-06
   194   0.552796E+04   0.686382E+00   0.000000E+00  -0.220733E+02   0.584264E-07   0.155835E-03  -0.467747E-06
   195   0.554341E+04   0.681345E+00   0.000000E+00  -0.209257E+02   0.581299E-07   0.154586E-03  -0.454084E-06
   196   0.555829E+04   0.676976E+00   0.000000E+00  -0.197542E+02   0.578358E-07   0.153349E-03  -0.440419E-06
   197   0.557261E+04   0.673314E+00   0.000000E+00  -0.185591E+02   0.575440E-07   0.152121E-03  -0.426742E-06
   198   0.558637E+04   0.670394E+00   0.000000E+00  -0.173409E+02   0.572545E-07   0.150904E-03  -0.413043E-06
   199   0.559954E+04   0.668253E+00   0.000000E+00  -0.160999E+02   0.569673E-07   0.149696E-03  -0.399314E-06
   200   0.561215E+04   0.666928E+00   0.000000E+00  -0.148366E+02   0.566824E-07   0.148497E-03  -0.385546E-06
   201   0.562417E+04   0.666456E+00   0.000000E+00  -0.135512E+02   0.563997E-07   0.147308E-03  -0.371731E-06
   202   0.563560E+04   0.666873E+00   0.000000E+00  -0.122444E+02   0.561193E-07   0.146127E-03  -0.357870E-06
   203   0.564642E+04   0.668218E+00   0.000000E+00  -0.109164E+02   0.558410E-07   0.144955E-03  -0.343964E-06
   204   0.565664E+04   0.670525E+00   0.000000E+00  -0.956761E+01   0.555649E-07   0.143791E-03  -0.330017E-06
   205   0.566621E+04   0.673831E+00   0.000000E+00  -0.819863E+01   0.552910E-07   0.142636E-03  -0.316030E-06
   206   0.567517E+04   0.678174E+00   0.000000E+00  -0.680980E+01   0.550192E-07   0.141490E-03  -0.302005E-06
   207   0.568347E+04   0.683589E+00   0.000000E+00  -0.540151E+01   0.547496E-07   0.140352E-03  -0.287944E-06
   208   0.569113E+04   0.690114E+00   0.000000E+00  -0.397437E+01   0.544820E-07   0.139223E-03  -0.273851E-06
   209   0.569817E+04   0.697783E+00   0.000000E+00  -0.252892E+01   0.542166E-07   0.138102E-03  -0.259726E-06
   210   0.570458E+04   0.706636E+00   0.000000E+00  -0.106575E+01   0.539532E-07   0.136990E-03  -0.245573E-06
   211   0.571036E+04   0.716708E+00   0.000000E+00   0.414608E+00   0.536918E-07   0.135885E-03  -0.231393E-06
   212   0.571552E+04   0.728035E+00   0.000000E+00   0.191157E+01   0.534325E-07   0.134789E-03  -0.217188E-06
   213   0.572008E+04   0.740654E+00   0.000000E+00   0.342456E+01   0.531752E-07   0.133702E-03  -0.202961E-06
   214   0.572403E+04   0.754603E+00   0.000000E+00   0.495303E+01   0.529200E-07   0.132622E-03  -0.188714E-06
   215   0.572738E+04   0.769910E+00   0.000000E+00   0.649637E+01   0.526666E-07   0.131551E-03  -0.174450E-06
   216   0.573010E+04   0.786622E+00   0.000000E+00   0.805397E+01   0.524153E-07   0.130487E-03  -0.160169E-06
   217   0.573221E+04   0.804768E+00   0.000000E+00   0.962521E+01   0.521659E-07   0.129432E-03  -0.145875E-06
   218   0.573370E+04   0.824377E+00   0.000000E+00   0.112096E+02   0.519184E-07   0.128384E-03  -0.131570E-06
   219   0.573456E+04   0.845493E+00   0.000000E+00   0.128064E+02   0.516728E-07   0.127344E-03  -0.117256E-06
   220   0.573479E+04   0.868148E+00   0.000000E+00   0.144151E+02   0.514291E-07   0.126312E-03  -0.102935E-06
   221   0.573440E+04   0.892369E+00   0.000000E+00   0.160349E+02   0.511872E-07   0.125288E-03  -0.886087E-07
   222   0.573336E+04   0.918202E+00   0.000000E+00   0.176654E+02   0.509473E-07   0.124272E-03  -0.742802E-07
   223   0.573169E+04   0.945668E+00   0.000000E+00   0.193058E+02   0.507091E-07   0.123263E-03  -0.599514E-07
   224   0.572939E+04   0.974806E+00   0.000000E+00   0.209555E+02   0.504727E-07   0.122261E-03  -0.456245E-07
   225   0.572647E+04   0.100564E+01   0.000000E+00   0.226137E+02   0.502382E-07   0.121268E-03  -0.313016E-07
   226   0.572291E+04   0.103820E+01   0.000000E+00   0.242799E+02   0.500054E-07   0.120282E-03  -0.169849E-07
   227   0.571873E+04   0.107254E+01   0.000000E+00   0.259533E+02   0.497744E-07   0.119303E-03  -0.267668E-08
   228   0.571392E+04   0.110866E+01   0.000000E+00   0.276332E+02   0.495451E-07   0.118331E-03   0.116209E-07
   229   0.570850E+04   0.114661E+01   0.000000E+00   0.293190E+02   0.493176E-07   0.117367E-03   0.259057E-07
