#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   139   0.403573E+04  -0.445310E+02   0.251078E-03  -0.445310E+02   0.111796E+01  -0.122343E-05   0.251078E-03  -0.122343E-05   0.787342E-07
   140   0.407018E+04  -0.447939E+02   0.248732E-03  -0.447939E+02   0.111776E+01  -0.122017E-05   0.248732E-03  -0.122017E-05   0.782697E-07
   141   0.410454E+04  -0.450364E+02   0.246422E-03  -0.450364E+02   0.111706E+01  -0.121553E-05   0.246422E-03  -0.121553E-05   0.778089E-07
   142   0.413880E+04  -0.452579E+02   0.244149E-03  -0.452579E+02   0.111586E+01  -0.120961E-05   0.244149E-03  -0.120961E-05   0.773518E-07
   143   0.417296E+04  -0.454581E+02   0.241909E-03  -0.454581E+02   0.111417E+01  -0.120251E-05   0.241909E-03  -0.120251E-05   0.768985E-07
   144   0.420701E+04  -0.456366E+02   0.239701E-03  -0.456366E+02   0.111200E+01  -0.119433E-05   0.239701E-03  -0.119433E-05   0.764488E-07
   145   0.424093E+04  -0.457928E+02   0.237525E-03  -0.457928E+02   0.110934E+01  -0.118516E-05   0.237525E-03  -0.118516E-05   0.760027E-07
   146   0.427471E+04  -0.459267E+02   0.235377E-03  -0.459267E+02   0.110619E+01  -0.117511E-05   0.235377E-03  -0.117511E-05   0.755603E-07
   147   0.430833E+04  -0.460375E+02   0.233258E-03  -0.460375E+02   0.110259E+01  -0.116427E-05   0.233258E-03  -0.116427E-05   0.751214E-07
   148   0.434178E+04  -0.461251E+02   0.231165E-03  -0.461251E+02   0.109851E+01  -0.115274E-05   0.231165E-03  -0.115274E-05   0.746861E-07
   149   0.437505E+04  -0.461889E+02   0.229097E-03  -0.461889E+02   0.109398E+01  -0.114062E-05   0.229097E-03  -0.114062E-05   0.742543E-07
   150   0.440812E+04  -0.462285E+02   0.227053E-03  -0.462285E+02   0.108899E+01  -0.112801E-05   0.227053E-03  -0.112801E-05   0.738260E-07
   151   0.444098E+04  -0.462437E+02   0.225030E-03  -0.462437E+02   0.108357E+01  -0.111500E-05   0.225030E-03  -0.111500E-05   0.734012E-07
   152   0.447361E+04  -0.462341E+02   0.223029E-03  -0.462341E+02   0.107771E+01  -0.110162E-05   0.223029E-03  -0.110162E-05   0.729798E-07
   153   0.450602E+04  -0.461995E+02   0.221050E-03  -0.461995E+02   0.107143E+01  -0.108788E-05   0.221050E-03  -0.108788E-05   0.725619E-07
   154   0.453820E+04  -0.461397E+02   0.219092E-03  -0.461397E+02   0.106475E+01  -0.107382E-05   0.219092E-03  -0.107382E-05   0.721474E-07
   155   0.457014E+04  -0.460543E+02   0.217156E-03  -0.460543E+02   0.105766E+01  -0.105946E-05   0.217156E-03  -0.105946E-05   0.717362E-07
   156   0.460186E+04  -0.459432E+02   0.215240E-03  -0.459432E+02   0.105020E+01  -0.104481E-05   0.215240E-03  -0.104481E-05   0.713285E-07
   157   0.463332E+04  -0.458062E+02   0.213345E-03  -0.458062E+02   0.104236E+01  -0.102990E-05   0.213345E-03  -0.102990E-05   0.709240E-07
   158   0.466453E+04  -0.456430E+02   0.211472E-03  -0.456430E+02   0.103418E+01  -0.101475E-05   0.211472E-03  -0.101475E-05   0.705229E-07
   159   0.469548E+04  -0.454533E+02   0.209618E-03  -0.454533E+02   0.102565E+01  -0.999389E-06   0.209618E-03  -0.999389E-06   0.701251E-07
